code_challenge_score,technical_interview_score,approved_by_the_code_challenge,approved_by_the_technical_interview,approved_in_both_tests,country_key,candidate_key,technology_key,seniority_key,date_key
1,3,False,False,False,79,148,22,7,20181227
4,10,False,True,False,95,149,7,5,20200814
10,3,True,False,False,113,150,15,6,20190227
6,6,False,False,False,85,151,13,4,20210221
8,9,True,True,True,112,152,7,2,20210213
7,2,True,False,False,114,153,9,7,20190315
7,2,True,False,False,115,154,13,5,20220409
5,7,False,True,False,112,155,20,5,20220626
6,0,False,False,False,116,156,17,2,20200207
8,4,True,False,False,108,157,19,1,20180309
0,2,False,False,False,117,158,7,5,20190812
3,8,False,True,False,118,159,24,4,20220323
0,5,False,False,False,58,160,22,6,20181130
0,2,False,False,False,119,161,16,2,20200425
5,0,False,False,False,96,162,20,7,20180731
1,0,False,False,False,120,163,7,7,20201225
1,7,False,True,False,87,164,18,4,20210124
1,5,False,False,False,121,165,8,5,20200510
4,10,False,True,False,122,166,18,7,20201214
6,3,False,False,False,123,167,8,4,20220101
2,3,False,False,False,124,168,11,1,20180604
3,10,False,True,False,49,169,17,4,20190605
7,7,True,True,True,118,170,21,1,20220320
7,9,True,True,True,19,171,1,2,20180125
3,9,False,True,False,125,172,14,7,20210124
6,7,False,True,False,126,173,7,5,20201021
5,5,False,False,False,97,174,20,4,20181215
10,9,True,True,True,13,175,3,7,20220517
4,8,False,True,False,44,176,5,1,20190605
0,9,False,True,False,127,177,17,2,20190919
0,3,False,False,False,49,178,12,6,20180713
6,10,False,True,False,21,179,2,3,20211127
10,4,True,False,False,128,180,20,3,20220607
1,0,False,False,False,34,181,10,4,20220428
8,9,True,True,True,31,182,20,6,20220621
8,7,True,True,True,104,183,11,4,20190402
9,3,True,False,False,129,184,6,2,20190418
8,9,True,True,True,97,185,18,5,20200715
8,4,True,False,False,95,186,14,2,20210923
1,5,False,False,False,130,187,9,7,20210301
2,7,False,True,False,131,188,20,3,20200322
1,6,False,False,False,132,189,4,3,20211214
6,3,False,False,False,83,190,22,7,20200312
7,10,True,True,True,133,191,10,5,20190216
4,0,False,False,False,56,192,14,3,20220329
7,1,True,False,False,47,193,2,2,20220331
6,2,False,False,False,6,194,23,4,20190403
7,4,True,False,False,134,195,23,3,20191104
5,8,False,True,False,107,196,7,2,20190303
10,7,True,True,True,135,197,22,6,20191230
6,8,False,True,False,21,198,17,4,20200515
6,4,False,False,False,136,199,17,7,20200626
8,4,True,False,False,111,200,9,7,20201026
3,2,False,False,False,71,201,5,2,20210530
9,4,True,False,False,77,202,22,2,20190818
5,7,False,True,False,137,203,3,4,20200420
3,1,False,False,False,138,204,23,7,20191116
1,6,False,False,False,139,205,6,7,20220215
2,6,False,False,False,140,206,10,2,20190721
7,6,True,False,False,141,207,18,1,20181226
4,10,False,True,False,142,208,8,5,20190427
1,5,False,False,False,143,209,18,5,20180925
8,3,True,False,False,41,210,18,4,20201126
8,0,True,False,False,144,211,2,2,20211104
2,2,False,False,False,42,212,15,6,20181119
5,3,False,False,False,136,213,17,6,20180607
10,9,True,True,True,78,214,12,2,20200127
10,2,True,False,False,145,215,3,7,20210119
8,7,True,True,True,146,216,23,5,20201130
6,6,False,False,False,147,217,15,4,20190325
5,2,False,False,False,31,218,8,5,20190211
0,0,False,False,False,96,219,19,4,20180805
1,7,False,True,False,65,220,2,1,20220510
7,8,True,True,True,148,221,7,5,20210730
3,1,False,False,False,149,222,15,1,20200418
0,5,False,False,False,142,223,1,6,20200729
3,3,False,False,False,96,224,18,5,20200111
10,2,True,False,False,150,225,24,7,20180522
6,0,False,False,False,46,226,7,7,20220630
0,6,False,False,False,141,227,7,1,20180923
10,3,True,False,False,107,228,15,7,20210531
3,3,False,False,False,150,229,8,5,20201110
8,9,True,True,True,112,230,7,5,20200410
2,9,False,True,False,27,231,5,6,20211109
3,9,False,True,False,151,232,17,5,20190812
5,6,False,False,False,36,233,20,5,20220505
5,2,False,False,False,152,234,7,7,20190626
5,2,False,False,False,153,235,13,6,20180526
4,3,False,False,False,56,236,5,5,20210721
4,1,False,False,False,154,237,13,4,20191110
4,8,False,True,False,102,238,11,1,20180309
1,0,False,False,False,92,239,2,6,20201119
9,7,True,True,True,9,240,14,6,20211111
0,5,False,False,False,129,241,9,7,20200424
5,0,False,False,False,155,242,8,4,20210902
0,1,False,False,False,59,243,13,3,20220504
3,3,False,False,False,131,244,18,5,20220316
3,4,False,False,False,43,245,23,4,20191130
5,6,False,False,False,51,246,2,1,20210615
4,7,False,True,False,152,247,2,7,20210529
10,5,True,False,False,72,248,22,2,20180919
2,6,False,False,False,34,249,11,5,20220606
10,2,True,False,False,90,250,21,1,20220614
10,4,True,False,False,40,251,14,2,20201003
8,0,True,False,False,156,252,9,2,20220311
2,10,False,True,False,63,253,14,3,20201210
5,7,False,True,False,90,254,4,2,20180917
6,2,False,False,False,156,255,20,5,20190822
6,8,False,True,False,2,256,19,4,20210124
6,4,False,False,False,80,257,12,3,20200906
5,4,False,False,False,14,258,8,1,20210418
1,10,False,True,False,30,259,24,1,20180922
6,8,False,True,False,157,260,22,2,20180924
7,5,True,False,False,61,261,7,1,20191217
0,0,False,False,False,158,262,19,3,20181204
6,0,False,False,False,146,263,8,3,20220222
4,6,False,False,False,149,264,15,3,20181127
10,1,True,False,False,99,265,12,7,20200108
4,1,False,False,False,159,266,22,5,20180315
2,10,False,True,False,160,267,17,4,20180917
7,9,True,True,True,114,268,13,3,20191229
4,5,False,False,False,161,269,22,5,20200626
1,3,False,False,False,13,270,2,3,20180228
0,0,False,False,False,162,271,17,4,20180711
1,6,False,False,False,37,272,18,3,20190918
5,1,False,False,False,157,273,3,6,20181211
4,7,False,True,False,44,274,17,7,20190721
2,10,False,True,False,163,275,13,2,20210307
0,7,False,True,False,164,276,19,6,20220308
7,1,True,False,False,162,277,6,5,20220417
5,8,False,True,False,34,278,13,2,20180310
2,8,False,True,False,30,279,20,4,20200914
6,8,False,True,False,165,280,12,5,20191125
2,2,False,False,False,161,281,15,7,20200516
6,0,False,False,False,18,282,21,1,20180901
9,8,True,True,True,166,283,14,1,20200827
8,5,True,False,False,46,284,20,5,20210517
10,5,True,False,False,22,285,14,2,20200614
7,4,True,False,False,167,286,11,5,20181130
9,3,True,False,False,15,287,6,4,20180101
4,5,False,False,False,85,288,3,5,20201025
6,10,False,True,False,115,289,4,5,20220209
7,7,True,True,True,168,290,24,6,20180313
6,8,False,True,False,157,291,23,2,20200406
8,2,True,False,False,18,292,5,7,20200604
2,8,False,True,False,137,293,15,7,20220622
0,4,False,False,False,18,294,6,4,20211203
1,1,False,False,False,47,295,3,4,20200424
5,7,False,True,False,49,296,10,6,20191125
9,1,True,False,False,90,297,9,1,20200911
5,10,False,True,False,169,298,14,7,20180813
10,0,True,False,False,144,299,11,1,20180524
9,8,True,True,True,143,300,19,6,20200125
5,9,False,True,False,170,301,9,5,20211123
10,1,True,False,False,171,302,6,2,20201020
2,10,False,True,False,22,303,18,1,20190126
6,9,False,True,False,55,304,8,7,20190513
0,10,False,True,False,99,305,12,4,20190411
8,4,True,False,False,65,306,8,3,20190522
2,8,False,True,False,172,307,8,6,20200331
9,6,True,False,False,173,308,14,4,20210308
1,6,False,False,False,174,309,1,1,20180728
6,9,False,True,False,36,310,20,4,20210820
9,9,True,True,True,124,311,2,6,20220402
9,10,True,True,True,85,312,23,3,20211101
9,5,True,False,False,175,313,12,6,20200103
7,10,True,True,True,176,314,18,2,20180328
8,4,True,False,False,123,315,11,5,20201027
3,7,False,True,False,177,316,18,1,20180311
7,9,True,True,True,178,317,13,5,20201128
9,6,True,False,False,24,318,24,5,20220703
3,8,False,True,False,86,319,13,3,20191213
10,4,True,False,False,179,320,10,6,20180912
4,9,False,True,False,147,321,12,5,20220308
3,1,False,False,False,44,322,8,5,20201221
0,1,False,False,False,75,323,19,2,20190211
4,2,False,False,False,120,324,21,6,20181220
4,10,False,True,False,180,325,17,1,20200601
1,4,False,False,False,45,326,6,6,20181208
9,10,True,True,True,181,327,10,1,20181002
10,8,True,True,True,88,328,15,7,20181121
9,0,True,False,False,140,329,1,7,20211118
3,3,False,False,False,33,330,19,1,20190404
0,0,False,False,False,182,331,8,3,20200127
0,4,False,False,False,183,332,23,6,20200203
10,5,True,False,False,10,333,14,5,20180303
7,7,True,True,True,184,334,12,7,20180531
10,2,True,False,False,101,335,23,7,20191104
4,2,False,False,False,185,336,13,4,20200101
5,1,False,False,False,105,337,14,2,20190714
4,2,False,False,False,25,338,24,6,20200627
6,5,False,False,False,186,339,4,6,20220323
5,2,False,False,False,187,340,23,7,20200630
10,0,True,False,False,138,341,8,2,20190710
0,7,False,True,False,154,342,8,6,20181118
0,7,False,True,False,143,343,24,4,20190517
5,5,False,False,False,151,344,1,2,20180207
6,6,False,False,False,188,345,5,6,20190705
9,1,True,False,False,189,346,13,1,20210813
8,10,True,True,True,182,347,13,7,20211225
9,6,True,False,False,168,348,6,7,20210203
6,9,False,True,False,99,349,19,5,20200526
1,7,False,True,False,40,350,11,2,20180513
2,3,False,False,False,190,351,21,6,20191222
6,9,False,True,False,6,352,8,6,20220204
4,9,False,True,False,152,353,10,4,20181221
6,0,False,False,False,110,354,12,2,20180921
3,4,False,False,False,191,355,8,3,20181113
5,0,False,False,False,86,356,22,4,20200325
6,5,False,False,False,62,357,14,3,20220511
1,3,False,False,False,165,358,6,3,20181207
7,5,True,False,False,143,359,1,2,20200907
10,8,True,True,True,71,360,10,2,20180411
9,7,True,True,True,83,361,8,7,20210515
0,1,False,False,False,192,362,12,2,20190405
3,3,False,False,False,193,363,3,2,20180618
2,0,False,False,False,57,364,12,7,20200324
3,8,False,True,False,73,365,6,7,20181113
4,8,False,True,False,158,366,22,2,20200502
7,10,True,True,True,87,367,24,2,20181210
5,7,False,True,False,1,368,23,4,20180723
2,6,False,False,False,162,369,13,6,20201027
7,3,True,False,False,55,370,2,5,20200705
1,6,False,False,False,1,371,8,3,20180522
4,3,False,False,False,137,372,10,1,20181207
0,8,False,True,False,24,373,18,7,20200423
7,10,True,True,True,194,374,19,1,20201116
0,7,False,True,False,174,375,9,7,20211005
5,10,False,True,False,189,376,2,5,20201226
8,4,True,False,False,195,377,13,2,20181204
10,4,True,False,False,14,378,13,3,20211227
10,2,True,False,False,17,379,12,6,20180302
5,4,False,False,False,56,380,12,1,20181107
1,6,False,False,False,186,381,11,3,20220526
2,0,False,False,False,116,382,20,4,20191123
6,4,False,False,False,196,383,21,5,20211116
1,7,False,True,False,41,384,17,7,20200325
0,2,False,False,False,77,385,20,3,20180722
6,8,False,True,False,77,386,6,7,20211124
7,1,True,False,False,108,387,3,6,20180311
6,10,False,True,False,142,388,3,3,20191105
6,4,False,False,False,91,389,9,3,20210529
9,7,True,True,True,197,390,20,6,20181005
8,7,True,True,True,179,391,5,2,20190708
7,7,True,True,True,141,392,10,1,20200412
2,8,False,True,False,192,393,9,3,20180118
10,1,True,False,False,198,394,10,3,20180417
0,0,False,False,False,199,395,20,1,20200129
8,2,True,False,False,20,396,21,7,20190318
10,2,True,False,False,11,397,16,7,20200707
8,6,True,False,False,184,398,10,5,20210820
10,5,True,False,False,123,399,11,6,20211223
8,10,True,True,True,88,400,13,4,20210303
2,2,False,False,False,49,401,7,6,20180824
3,2,False,False,False,180,402,8,1,20220403
0,6,False,False,False,200,403,15,1,20190714
0,1,False,False,False,190,404,8,7,20181205
6,6,False,False,False,17,405,21,2,20201116
5,2,False,False,False,17,406,2,6,20190323
0,4,False,False,False,201,407,16,5,20220508
5,8,False,True,False,176,408,7,5,20220701
3,6,False,False,False,10,409,14,1,20181107
10,3,True,False,False,202,410,3,3,20210319
10,8,True,True,True,25,411,5,5,20180125
0,1,False,False,False,67,412,24,5,20190817
8,10,True,True,True,19,413,3,6,20210324
10,3,True,False,False,176,414,19,4,20220316
4,10,False,True,False,203,415,17,7,20201106
2,10,False,True,False,26,416,24,3,20210728
10,7,True,True,True,172,417,20,3,20201011
2,3,False,False,False,204,418,6,5,20210522
3,10,False,True,False,111,419,11,6,20210802
8,0,True,False,False,42,420,19,6,20220625
3,7,False,True,False,164,421,22,6,20180816
3,1,False,False,False,70,422,8,5,20181204
8,2,True,False,False,28,423,7,3,20200830
5,3,False,False,False,10,424,21,2,20220123
9,5,True,False,False,142,425,18,2,20220203
10,8,True,True,True,134,426,18,2,20210320
7,4,True,False,False,170,427,14,3,20210626
1,9,False,True,False,205,428,1,5,20180412
5,0,False,False,False,6,429,15,5,20200226
7,8,True,True,True,68,430,2,2,20200305
2,10,False,True,False,58,431,19,1,20200211
0,0,False,False,False,181,432,8,5,20200805
10,1,True,False,False,141,433,8,2,20211118
9,1,True,False,False,204,434,6,7,20211123
8,3,True,False,False,206,435,3,3,20180702
2,6,False,False,False,207,436,17,7,20210322
0,10,False,True,False,121,437,12,1,20191230
3,7,False,True,False,208,438,8,6,20180702
3,6,False,False,False,100,439,24,1,20200821
6,1,False,False,False,7,440,9,6,20201206
1,7,False,True,False,187,441,13,3,20210424
0,4,False,False,False,35,442,5,5,20210917
6,5,False,False,False,197,443,15,1,20190326
2,5,False,False,False,209,444,13,3,20200113
1,2,False,False,False,85,445,22,5,20191216
6,2,False,False,False,38,446,13,2,20180608
1,4,False,False,False,171,447,23,1,20210724
2,2,False,False,False,29,448,2,4,20201213
4,0,False,False,False,49,449,14,1,20200526
4,6,False,False,False,36,450,7,3,20200502
4,7,False,True,False,173,451,2,1,20211216
5,10,False,True,False,87,452,20,2,20190124
7,7,True,True,True,129,453,5,1,20190315
2,10,False,True,False,50,454,13,7,20201202
3,9,False,True,False,127,455,21,4,20201008
10,2,True,False,False,210,456,4,2,20180615
10,9,True,True,True,135,457,10,6,20210609
9,4,True,False,False,74,458,8,6,20210625
4,9,False,True,False,174,459,24,5,20180714
8,7,True,True,True,206,460,7,2,20180107
0,10,False,True,False,115,461,21,5,20181206
0,3,False,False,False,145,462,4,6,20180604
1,0,False,False,False,94,463,12,3,20190204
5,6,False,False,False,211,464,3,2,20210420
6,0,False,False,False,40,465,4,2,20190606
8,3,True,False,False,211,466,2,2,20220215
2,4,False,False,False,52,467,3,5,20210703
2,9,False,True,False,187,468,11,7,20210813
8,8,True,True,True,65,469,17,5,20180909
10,9,True,True,True,181,470,21,7,20220531
10,8,True,True,True,75,471,11,1,20191016
4,9,False,True,False,114,472,10,7,20211120
0,10,False,True,False,102,473,18,1,20200913
10,10,True,True,True,187,474,1,1,20200827
9,9,True,True,True,31,475,22,6,20220628
5,6,False,False,False,16,476,4,2,20200205
8,7,True,True,True,20,477,18,2,20180106
3,3,False,False,False,61,478,17,3,20190514
4,5,False,False,False,91,479,7,4,20190528
8,1,True,False,False,1,480,24,2,20211005
6,1,False,False,False,172,481,14,2,20201002
2,1,False,False,False,12,482,9,2,20190316
6,3,False,False,False,180,483,20,7,20200118
5,8,False,True,False,19,484,22,6,20201118
9,2,True,False,False,197,485,13,4,20220508
9,10,True,True,True,48,486,18,3,20220517
8,3,True,False,False,108,487,13,1,20180403
2,8,False,True,False,138,488,22,5,20210223
1,1,False,False,False,91,489,4,6,20191118
2,1,False,False,False,183,490,17,2,20210209
3,10,False,True,False,52,491,14,4,20211225
4,9,False,True,False,188,492,10,6,20210807
1,7,False,True,False,212,493,1,5,20190417
10,3,True,False,False,130,494,15,6,20220306
4,9,False,True,False,104,495,12,5,20200202
7,10,True,True,True,5,496,12,6,20210913
0,4,False,False,False,85,497,11,5,20180505
3,2,False,False,False,112,498,4,5,20220211
4,3,False,False,False,213,499,9,6,20200824
10,5,True,False,False,135,500,20,1,20211015
9,9,True,True,True,214,501,7,2,20220618
10,10,True,True,True,155,502,11,5,20200913
5,4,False,False,False,73,503,8,5,20190720
0,1,False,False,False,7,504,8,1,20210414
5,1,False,False,False,130,505,13,2,20210825
8,8,True,True,True,131,506,22,1,20180113
4,5,False,False,False,45,507,9,7,20220106
0,1,False,False,False,196,508,14,2,20220519
7,6,True,False,False,28,509,14,4,20190910
8,0,True,False,False,68,510,10,2,20220614
9,5,True,False,False,89,511,18,2,20220409
9,9,True,True,True,126,512,12,1,20200821
4,10,False,True,False,181,513,15,6,20181122
0,6,False,False,False,140,514,7,7,20220102
6,4,False,False,False,61,515,13,6,20220109
10,10,True,True,True,176,516,16,5,20180920
7,5,True,False,False,205,517,7,2,20211228
4,1,False,False,False,215,518,1,7,20191121
9,3,True,False,False,129,519,5,6,20211018
0,4,False,False,False,216,520,4,1,20200322
4,4,False,False,False,145,521,22,5,20180228
3,10,False,True,False,112,522,5,6,20190904
2,8,False,True,False,86,523,13,2,20220621
10,6,True,False,False,26,524,10,7,20180923
5,5,False,False,False,58,525,14,4,20190706
4,7,False,True,False,30,526,12,6,20180515
2,10,False,True,False,12,527,24,3,20200710
9,4,True,False,False,122,528,3,6,20220515
5,5,False,False,False,72,529,3,5,20190111
7,7,True,True,True,114,530,18,7,20201118
3,10,False,True,False,111,531,12,7,20190628
9,8,True,True,True,9,532,12,6,20191208
0,10,False,True,False,8,533,5,7,20181014
1,6,False,False,False,148,534,5,5,20190717
0,4,False,False,False,217,535,15,1,20200630
1,7,False,True,False,61,536,23,7,20220501
7,0,True,False,False,218,537,16,1,20210803
1,3,False,False,False,123,538,1,4,20200308
1,5,False,False,False,1,539,24,7,20211231
9,4,True,False,False,146,540,2,7,20211028
9,8,True,True,True,144,541,1,5,20210424
10,1,True,False,False,166,542,6,7,20220527
4,3,False,False,False,176,543,22,1,20210804
6,8,False,True,False,177,544,1,4,20191121
1,3,False,False,False,18,545,21,4,20191221
9,0,True,False,False,81,546,22,1,20210612
3,3,False,False,False,219,547,7,1,20200810
0,1,False,False,False,220,548,16,2,20200604
4,4,False,False,False,198,549,24,5,20180901
1,10,False,True,False,146,550,4,6,20190915
1,7,False,True,False,102,551,20,7,20190602
6,2,False,False,False,221,552,22,3,20191104
5,3,False,False,False,162,553,12,6,20190202
0,10,False,True,False,147,554,23,7,20220521
10,3,True,False,False,222,555,4,7,20200322
2,7,False,True,False,104,556,20,6,20200703
7,10,True,True,True,58,557,24,7,20180628
4,0,False,False,False,16,558,11,1,20210902
8,9,True,True,True,4,559,16,5,20200424
8,8,True,True,True,129,560,6,1,20201211
3,8,False,True,False,169,561,1,1,20201018
6,2,False,False,False,223,562,10,5,20181023
9,2,True,False,False,41,563,5,6,20210322
8,8,True,True,True,224,564,16,3,20220422
3,4,False,False,False,127,565,2,4,20190316
2,10,False,True,False,196,566,10,1,20220103
9,1,True,False,False,135,567,14,4,20220317
10,8,True,True,True,161,568,13,5,20210713
7,8,True,True,True,11,569,10,5,20200514
7,4,True,False,False,148,570,16,1,20200416
2,6,False,False,False,28,571,19,3,20180126
3,3,False,False,False,59,572,4,3,20210614
1,7,False,True,False,41,573,23,5,20200930
3,10,False,True,False,194,574,5,1,20210519
7,2,True,False,False,166,575,3,6,20220106
10,3,True,False,False,202,576,4,5,20210510
7,4,True,False,False,123,577,13,5,20200702
5,5,False,False,False,152,578,22,7,20200825
9,0,True,False,False,92,579,18,2,20200209
1,0,False,False,False,99,580,10,3,20200817
0,9,False,True,False,225,581,24,2,20200709
0,4,False,False,False,75,582,16,4,20180813
0,6,False,False,False,95,583,7,1,20180924
9,2,True,False,False,133,584,1,7,20180328
4,1,False,False,False,25,585,23,3,20220519
6,6,False,False,False,82,586,18,4,20210215
5,4,False,False,False,205,587,6,3,20200710
6,4,False,False,False,133,588,11,4,20200216
2,4,False,False,False,153,589,18,7,20190131
9,1,True,False,False,113,590,4,3,20180612
0,8,False,True,False,19,591,1,3,20180311
2,6,False,False,False,62,592,3,7,20190115
8,1,True,False,False,25,593,5,1,20190305
1,8,False,True,False,69,594,13,2,20220106
10,2,True,False,False,23,595,2,7,20200327
8,6,True,False,False,79,596,18,7,20181114
10,10,True,True,True,76,597,10,3,20190113
0,6,False,False,False,109,598,18,5,20180711
8,8,True,True,True,226,599,13,2,20180412
2,4,False,False,False,105,600,24,2,20190420
9,9,True,True,True,74,601,18,7,20210220
10,3,True,False,False,174,602,8,4,20210224
6,10,False,True,False,227,603,19,4,20180625
2,3,False,False,False,228,604,20,4,20180728
8,9,True,True,True,76,605,18,1,20220513
7,2,True,False,False,18,606,1,5,20200612
8,5,True,False,False,217,607,8,2,20200621
10,3,True,False,False,9,608,22,2,20210418
0,1,False,False,False,93,609,9,1,20181209
2,1,False,False,False,195,610,22,6,20220217
3,8,False,True,False,99,611,13,1,20210418
10,5,True,False,False,214,612,15,6,20210817
7,9,True,True,True,131,613,14,7,20181227
10,8,True,True,True,129,614,11,3,20180508
7,7,True,True,True,224,615,13,3,20211029
5,10,False,True,False,168,616,14,5,20210905
4,5,False,False,False,201,617,24,3,20181218
10,9,True,True,True,17,618,5,1,20210107
5,6,False,False,False,20,619,9,6,20200604
9,0,True,False,False,220,620,18,3,20210917
8,3,True,False,False,52,621,12,6,20201212
1,6,False,False,False,30,622,18,6,20191002
7,5,True,False,False,197,623,13,4,20181220
3,8,False,True,False,138,624,18,1,20180518
6,1,False,False,False,164,625,16,5,20180704
0,9,False,True,False,56,626,23,2,20180727
2,3,False,False,False,53,627,1,6,20211217
2,8,False,True,False,147,628,7,6,20190707
1,6,False,False,False,203,629,10,2,20210514
